n,algoritmo,tempo,co2
500,networkx,0.0016016960144042969,2.973360862755315e-08
500,classico,0.01584768295288086,1.620429767394487e-07
500,heap,0.0038824081420898438,5.8742193310467165e-08
500,networkx,0.0014739036560058594,3.2116138220514505e-08
500,classico,0.017174482345581055,1.7536914136070778e-07
500,heap,0.0037822723388671875,5.939312564428009e-08
500,networkx,0.0024576187133789062,4.542548948986632e-08
500,classico,0.014410972595214844,1.513388786686131e-07
500,heap,0.004278898239135742,5.909892633420888e-08
500,networkx,0.00156402587890625,4.107521734671249e-08
500,classico,0.014391899108886719,1.4906483645947769e-07
500,heap,0.006654500961303711,8.759260490168218e-08
500,networkx,0.0014660358428955078,4.4377801752415954e-08
500,classico,0.014737367630004883,1.507588648660104e-07
500,heap,0.004647731781005859,5.9012323965714426e-08
500,networkx,0.001039266586303711,3.733075717458706e-08
500,classico,0.01630568504333496,1.6920313159255456e-07
500,heap,0.005340099334716797,6.502004822571141e-08
500,networkx,0.0022885799407958984,4.329675719910341e-08
500,classico,0.017914295196533203,1.7971134898336918e-07
500,heap,0.005434989929199219,6.881780882070337e-08
500,networkx,0.0011665821075439453,4.002562478020363e-08
500,classico,0.015289545059204102,1.6167477593033867e-07
500,heap,0.007567405700683594,8.783176178487331e-08
500,networkx,0.0015385150909423828,4.387517353251997e-08
500,classico,0.014499664306640625,1.5255736579437366e-07
500,heap,0.00582432746887207,7.091864138551791e-08
500,networkx,0.0014960765838623047,3.511891143091688e-08
500,classico,0.020728111267089844,2.103171829203984e-07
500,heap,0.006479024887084961,4.5930603952404956e-10
500,networkx,0.0014808177947998047,3.139678816941857e-08
500,classico,0.014114618301391602,1.4643017171682993e-07
500,heap,0.004978179931640625,6.334168492073752e-08
500,networkx,0.0023145675659179688,5.2230882616194825e-08
500,classico,0.015543460845947266,1.6188488929815678e-07
500,heap,0.008136272430419922,8.901378682186745e-08
500,networkx,0.0014851093292236328,3.444354196724019e-08
500,classico,0.01587820053100586,1.6423751351868232e-07
500,heap,0.004326581954956055,6.026492760897659e-08
500,networkx,0.0017893314361572266,4.205535100778733e-08
500,classico,0.014856576919555664,1.5401145129721977e-07
500,heap,0.002604246139526367,3.98899951416639e-08
500,networkx,0.0014362335205078125,2.7858352450088863e-08
500,classico,0.028288602828979492,2.804231273624025e-07
500,heap,0.005068063735961914,6.823834951494881e-08
500,networkx,0.0018606185913085938,3.161839474970987e-08
500,classico,0.016438007354736328,1.7169921755681527e-07
500,heap,0.00599980354309082,7.312984385924432e-08
500,networkx,0.0034575462341308594,7.051577000825062e-08
500,classico,0.014058351516723633,1.4674459076637276e-07
500,heap,0.005618095397949219,7.582024559972672e-08
500,networkx,0.001825571060180664,3.898868705995984e-08
500,classico,0.022093534469604492,2.2672992476050573e-07
500,heap,0.007153511047363281,9.038793328917581e-08
500,networkx,0.0014920234680175781,3.032997273470512e-08
500,classico,0.015626907348632812,1.6190433729206132e-07
500,heap,0.005514860153198242,4.2178317189831046e-10
500,networkx,0.0014879703521728516,2.9763086640516118e-08
500,classico,0.016633033752441406,1.6826351369361398e-07
500,heap,0.0043179988861083984,5.7536178132473164e-08
500,networkx,0.001447439193725586,3.520179246779174e-08
500,classico,0.014835357666015625,1.5305709751412488e-07
500,heap,0.004857301712036133,6.141849663790954e-08
500,networkx,0.002404928207397461,4.184266678949591e-08
500,classico,0.017763137817382812,1.7972953675620414e-07
500,heap,0.004881858825683594,7.158854929777377e-08
500,networkx,0.001796722412109375,3.571532996173016e-08
500,classico,0.01597762107849121,1.626889948817636e-07
500,heap,0.0072286128997802734,9.095320407036924e-08
500,networkx,0.0017879009246826172,3.382489760426263e-08
500,classico,0.015842199325561523,1.6174200837162186e-07
500,heap,0.004277229309082031,5.793903434264251e-08
500,networkx,0.002128124237060547,3.730291901029034e-08
500,classico,0.016155004501342773,1.6365020292641026e-07
500,heap,0.006496906280517578,7.696101970852906e-08
500,networkx,0.0015778541564941406,3.9857979289350586e-08
500,classico,0.017086029052734375,1.8715257766839792e-07
500,heap,0.0049817562103271484,7.257001098603404e-08
500,networkx,0.001577138900756836,3.455707781754946e-08
500,classico,0.016999483108520508,1.734387571064635e-07
500,heap,0.004991769790649414,6.150862137966171e-08
500,networkx,0.001214742660522461,2.591329699608118e-08
500,classico,0.016307830810546875,1.6739532599746485e-07
500,heap,0.003964662551879883,5.329996867895438e-08
500,networkx,0.002213716506958008,3.819238101623774e-08
